model_name,accuracy_score,f1_score,auc_score,specificity_score,sensitivity_score
log_reg,0.821625,0.7636300293024249,0.8786555877002242,0.8717317341170552,0.6669051220210114
randomforest,0.82007,0.7714551614322782,0.8910162749761645,0.8481141692150866,0.7334750439439153
lightgbm,0.83267,0.7824287261016472,0.9005347242095532,0.8692495068641858,0.7197195765032907
xgboost,0.832465,0.7835995526566619,0.9010689361513129,0.8655758105299389,0.7302252381147039
mlp,0.828475,0.7782004934562254,0.8967196013633771,0.8635304552735745,0.7202305522626007
